cik,benford_p,name
1000177,6.566349271376531e-07,NORDIC AMERICAN TANKERS LTD
1000228,5.703227548807603e-17,HENRY SCHEIN INC
1000229,6.521063228429033e-07,CORE LABORATORIES N V
1000230,2.18200870195842e-08,OPTICAL CABLE CORP
1000623,5.011195850097661e-05,SCHWEITZER MAUDUIT INTERNATIONAL INC
1000623,5.011195850097661e-05,"MATIV HOLDINGS, INC."
1000683,0.0020768533387220856,BLONDER TONGUE LABORATORIES INC
1000694,0.00360765279381075,NOVAVAX INC
1000697,0.0012086817114346715,WATERS CORP /DE/
1001082,1.0224948075518355e-19,DISH NETWORK CORP
1001115,0.0064221934691438875,GEOSPACE TECHNOLOGIES CORP
1001171,0.0006486517849561421,BROADWAY FINANCIAL CORP DE
100122,0.014338661996620953,TUCSON ELECTRIC POWER CO
1001233,1.1334670443279227e-05,"SANGAMO THERAPEUTICS, INC"
1001250,2.8892550946528193e-06,ESTEE LAUDER COMPANIES INC
1001316,4.0195540794285525e-11,"TG THERAPEUTICS, INC."
1001385,8.981248438650617e-09,NORTHWEST PIPE CO
1001601,0.0011196042073850295,"MGT CAPITAL INVESTMENTS, INC."
1001614,9.120283585004655e-06,TENGASCO INC
1001614,9.120283585004655e-06,"RILEY EXPLORATION PERMIAN, INC."
1001902,0.007756584905884662,INTEVAC INC
1001907,0.043467127297680694,ASTROTECH CORP
1002047,9.624568954995291e-23,"NETAPP, INC."
1002135,0.041640489812508265,WESTELL TECHNOLOGIES INC
1002517,0.032078963353711666,"NUANCE COMMUNICATIONS, INC."
1002638,4.191205241176202e-07,OPEN TEXT CORP
1002910,1.9338381210647838e-07,AMEREN CORP
1003078,7.210917708564594e-15,MSC INDUSTRIAL DIRECT CO INC
100378,0.013201262516967604,TWIN DISC INC
1003935,1.4338004687054836e-05,NICE LTD.
1004434,9.783708301209855e-17,"AFFILIATED MANAGERS GROUP, INC."
1004702,0.0013928188746602298,OCEANFIRST FINANCIAL CORP
1004724,1.5254694664165513e-44,"REGIONAL HEALTH PROPERTIES, INC"
100493,1.1978469940762634e-20,"TYSON FOODS, INC."
1004980,5.158596923361425e-15,PG&E CORP
1004989,0.038813681326135635,SPAR GROUP INC
1004989,0.038813681326135635,"SPAR GROUP, INC."
1005011,3.1139469088457525e-06,"GRAPHIC PACKAGING INTERNATIONAL, LLC"
1005101,9.873317429798024e-07,CONCIERGE TECHNOLOGIES INC
1005101,9.873317429798024e-07,"MARYGOLD COMPANIES, INC."
1005210,0.024653368950767453,SUBURBAN PROPANE PARTNERS LP
1005229,4.664363603046087e-11,COLUMBUS MCKINNON CORP
1005286,0.0001689221945851347,LANDEC CORP CA
1005286,0.0001689221945851347,"LIFECORE BIOMEDICAL, INC. DE"
1005516,0.0046927853702641315,BOS BETTER ONLINE SOLUTIONS LTD
1005731,9.142518000455893e-05,IDT CORP
1005757,3.710029447307324e-12,CSG SYSTEMS INTERNATIONAL INC
100591,0.005123393838610143,ARGAN INC
1006028,0.02668749122025316,"PURE BIOSCIENCE, INC."
1006045,0.0002132135089372942,IRIDEX CORP
1006830,9.005540899947824e-07,CONSUMERS BANCORP INC /OH/
1006837,0.0009034578133954124,"HC2 HOLDINGS, INC."
1006837,0.0009034578133954124,INNOVATE CORP.
1007019,0.0234142941511879,COFFEE HOLDING CO INC
100716,4.698219553958843e-54,UNICO AMERICAN CORP
100726,0.021848481380613283,UNIFI INC
1007587,0.0006492578109546865,KVH INDUSTRIES INC DE
100790,0.02465551003060428,UNION CARBIDE CORP /NEW/
1008586,0.0015720936097136258,STREAMLINE HEALTH SOLUTIONS INC.
1008653,0.00010614951470161849,ECOMAT INC
1008653,0.00010614951470161849,"ECOMAX, INC"
1008654,0.0025231993210043727,TUPPERWARE BRANDS CORP
100885,1.873417899035235e-15,UNION PACIFIC CORP
1009759,0.001104170989923777,CAPSTONE TURBINE CORP
1009759,0.001104170989923777,CAPSTONE GREEN ENERGY CORP
1009759,0.001104170989923777,"CAPSTONE GREEN ENERGY HOLDINGS, INC."
1009891,0.0022388136146381187,AIR INDUSTRIES GROUP
1010086,4.2267631021974596e-05,SIGA TECHNOLOGIES INC
1010134,0.0003837637395719654,ICTS INTERNATIONAL N V
1010470,7.106341875829877e-11,PROVIDENT FINANCIAL HOLDINGS INC
1010612,1.9656667896091224e-06,SYKES ENTERPRISES INC
1011060,1.682348606841558e-07,ADVANSOURCE BIOMATERIALS CORP
1011060,1.682348606841558e-07,EKIMAS CORP
1011060,1.682348606841558e-07,NORDICUS PARTNERS CORP
1011452,0.004783314697623157,"MEDICAL INFORMATION TECHNOLOGY, INC."
1011509,5.00452282027831e-08,GOLDEN MINERALS CO
1011570,0.006670209833954895,KNOLL INC
101199,7.750909787451063e-06,UNITED FIRE GROUP INC
1012019,0.005185005255406989,RUSH ENTERPRISES INC TX
1012100,7.519589344016997e-06,SEALED AIR CORP/DE
1012477,0.021825391324866595,AVADEL PHARMACEUTICALS PLC
1012771,0.007087608256413544,FBL FINANCIAL GROUP INC
1013237,0.0022975808330940443,FACTSET RESEARCH SYSTEMS INC
1013272,0.0319865600534605,NORWOOD FINANCIAL CORP
1013488,0.0032331406898515073,BJS RESTAURANTS INC
1013606,0.024570090054370285,ENDOLOGIX INC /DE/
1013706,4.3859632952681893e-10,"WILHELMINA INTERNATIONAL, INC."
101382,0.03927569408123012,UMB FINANCIAL CORP
1013871,1.6942735014359193e-05,"NRG ENERGY, INC."
1013880,2.130211533114558e-08,"TTEC HOLDINGS, INC."
1013934,0.000994448719733168,"STRATEGIC EDUCATION, INC."
1014052,4.387070190383302e-09,"DIGERATI TECHNOLOGIES, INC."
1014111,0.0006375158178780142,"GLASSBRIDGE ENTERPRISES, INC."
1014473,0.003059368483451987,VERISIGN INC/CA
1014739,2.8757395045291654e-05,"OPTION CARE HEALTH, INC."
1015328,0.0011576913750065206,WINTRUST FINANCIAL CORP
101538,0.004895580182275704,UNITED STATES ANTIMONY CORP
1015383,3.7009325322308636e-14,"AMMO, INC."
1015739,0.006761280904781703,AWARE INC /MA/
1015780,0.011879365489355975,E TRADE FINANCIAL CORP
1015820,2.0915014974084733e-18,QIAGEN N.V.
1015922,4.1151194522028055e-19,CHECK POINT SOFTWARE TECHNOLOGIES LTD
1016281,1.9054143632765707e-09,CARRIAGE SERVICES INC
1016504,0.003114556690043621,INTEGRATED BIOPHARMA INC
1016838,0.00014806546397154915,RADCOM LTD
1017480,0.007582476333192137,HIBBETT SPORTS INC
1017480,0.007582476333192137,HIBBETT INC
1017491,1.513344567717882e-05,"SEELOS THERAPEUTICS, INC."
1017655,0.015376399927380772,PAID INC
